ID,Department,Category,Order,Title,Duration,Video URL,Description,Key Takeaways (pipe-separated),Downloadable Resources (pipe-separated)
trn-welcome,GLOBAL,Onboarding,1,Welcome to Hydra Pest Control,15 min,,Company mission / values / history / org structure / what sets Hydra apart,Understand Hydra's mission and core values|Know the org structure and reporting chain|Recognize what sets Hydra apart from competitors,Employee Handbook|Company Org Chart|Brand Guidelines
trn-safety-ppe,GLOBAL,Onboarding,2,Safety Protocols & PPE Requirements,20 min,,Required PPE by job type / chemical handling / emergency protocols / OSHA compliance,Identify required PPE for each service type|Understand chemical handling and storage|Know emergency response for exposure incidents|Stay OSHA and AZ compliant,PPE Checklist|Chemical Handling Guide|Emergency Contact Card|OSHA Quick Reference
trn-customer-service,GLOBAL,Onboarding,3,Customer Service Standards,12 min,,Hydra communication guidelines / complaint handling / service documentation / 5-star experience,Master the Hydra greeting and service walkthrough|Handle customer concerns with empathy|Document service visits for follow-up|Turn every job into a 5-star experience,Customer Communication Scripts|Service Visit Checklist|Complaint Resolution Flowchart
trn-scorpions,OPS,Pest Identification,4,Arizona Scorpions: ID & Treatment,18 min,,40+ AZ scorpion species / bark scorpion focus / behavior / UV detection / treatment protocol,Identify bark scorpion and common species|Understand harborage and entry points|Apply UV detection during inspections|Execute Hydra scorpion treatment protocol,Scorpion ID Field Card|UV Inspection Guide|Treatment Protocol Sheet
trn-termites,OPS,Pest Identification,5,Termite Identification & Inspection,25 min,,Subterranean vs drywood / mud tubes / frass / swarm evidence / WDIIR process,Distinguish subterranean from drywood damage|Identify mud tubes and frass and swarm evidence|Conduct a thorough WDIIR inspection|Communicate findings to homeowners and realtors,Termite ID Guide|WDIIR Form Template|Inspection Walkthrough Checklist
trn-common-pests,OPS,Pest Identification,6,Common Arizona Pests: Field Guide,22 min,,Top 15 AZ pests / seasonal patterns / initial treatment / when to escalate,Identify top 15 pests in Arizona|Understand seasonal activity patterns|Know correct initial treatment per species|Recognize when to escalate to specialist,Arizona Pest Field Guide|Seasonal Pest Calendar|Quick ID Flashcards
trn-hydra-guard,OPS,Treatment Procedures,7,Hydra-Guard Barrier Application,16 min,,Signature perimeter treatment / spray patterns / mixing ratios / customer communication,Execute full Hydra-Guard barrier process|Maintain proper spray distance and coverage|Mix products at correct ratios|Explain barrier value to customers,Hydra-Guard Application SOP|Mixing Ratio Quick Sheet|Coverage Map Template
trn-icap,OPS,Treatment Procedures,8,iCap Technology: Proper Application,14 min,,Microencapsulated formulation / storage / mixing / application / science behind it,Understand microencapsulation technology|Store and handle iCap correctly|Apply at proper dilution and pressure|Explain long-lasting benefits to customers,iCap Product Label|Application Rate Chart|Safety Data Sheet
trn-precon,OPS,Treatment Procedures,9,Termite Pre-Construction Treatment,20 min,,New-build protocol / soil prep / chemical zones / builder coordination / warranty docs,Understand AZ pre-treatment code requirements|Apply termiticide to all required zones|Document treatments for warranty|Coordinate with builders and GCs,Pre-Treatment Protocol|Builder Coordination Checklist|Warranty Documentation Template|Arizona Code Reference
trn-equipment,OPS,Equipment & Products,10,Equipment Maintenance & Care,12 min,,Daily / weekly / monthly maintenance for sprayers / backpacks / vehicle rigs / tools,Perform daily pre-route equipment checks|Maintain sprayer pumps and hoses and nozzles|Keep vehicles organized and inspection-ready|Report issues before they become failures,Daily Equipment Checklist|Sprayer Maintenance Guide|Vehicle Inspection Form
trn-mixing-sds,OPS,Equipment & Products,11,Product Mixing & Safety Data Sheets,15 min,,Mixing ratios for all products / how to read SDS / storage / spill response,Mix all Hydra products at correct ratios|Read and interpret Safety Data Sheets|Store mixed and unmixed products safely|Handle spills and exposure correctly,Product Mixing Chart|SDS Binder Index|Spill Response Procedure
trn-upselling,SALES,Sales & Growth,12,Upselling Services the Right Way,10 min,,Identify upsell opportunities during visits / present value not pressure / track conversions,Spot natural upsell opportunities|Present services as solutions not pitches|Use show-don't-tell for add-ons|Track upsell conversions,Upsell Opportunity Guide|Service Add-On Pricing Sheet|Conversation Scripts
trn-referrals,SALES,Sales & Growth,13,Generating Referrals,8 min,,When to ask / make it easy / follow up within 24hrs / track for bonus,Ask for referrals at peak satisfaction|Use referral cards and digital tools|Follow up with referred leads within 24 hours|Track referral numbers for bonus eligibility,Referral Program Overview|Referral Card Templates|Referral Tracking Sheet
